Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C2479694,RMCF0805FT5K10,SEI(Stackpole Electronics Inc.),0805,,125mW 5.1kΩ 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0077,0.77,https://www.lcsc.com/product-detail/C2479694.html
2,C8545,2N7002,JSCJ,SOT-23,,N-Channel 60V 115mA 0.225W Surface Mount SOT-23,yes,50,50,50,0.0133,0.67,https://www.lcsc.com/product-detail/C8545.html
3,C52953352,74AHCT1G125GW,MDD(Microdiode Semiconductor),SOT-353,,"2V~5.5V 1 40uA 5ns@5V,15pF SOT-353 Buffers, Drivers, Receivers, Transceivers RoHS",yes,30,10,10,0.0722,2.17,https://www.lcsc.com/product-detail/C52953352.html
4,C107410,DS3231MZ+TRL,MAXIM,SOIC-8,,Built-in Yes SOIC-8 Real Time Clocks RoHS,yes,5,1,1,3.1123,15.56,https://www.lcsc.com/product-detail/C107410.html
5,C2827654,USBLC6-2SC6,TECH PUBLIC,SOT-23-6,,12VC Clamp 6A Ipp ESD DIODE SOT-23-6,yes,50,10,10,0.0410,2.05,https://www.lcsc.com/product-detail/C2827654.html
6,C160389,BM03B-SRSS-TB(LF)(SN),JST,"SMD,P=1mm",,"Connector Header 3 position 1mm Pitch 1A Surface Mount,Vertical -25℃~+85℃",yes,10,5,5,0.2641,2.64,https://www.lcsc.com/product-detail/C160389.html
7,C2904109,10029364-001LF,Amphenol,"SMD,P=1.27mm",,"SMD,P=1.27mm Pluggable Connector Assemblies RoHS",yes,1,1,1,3.3605,3.36,https://www.lcsc.com/product-detail/C2904109.html
8,C110293,SKRTLAE010,ALPSALPINE,"SMD,4.5x3.4mm",,"Tactile Switch SPST 3.3mm 4.5mm x 3.4mm Surface Mount, Right Angle",yes,10,5,5,0.1308,1.31,https://www.lcsc.com/product-detail/C110293.html
9,C238065,103,Keystone,-,,"Battery Holders, Clips, Contacts RoHS",yes,5,1,1,1.0850,5.43,https://www.lcsc.com/product-detail/C238065.html
10,C12074,HR911105A,HANRUN(Zhongshan HanRun Elec),Through Hole,,Jack Modular Connector RJ45 Through Hole,yes,5,1,1,1.5212,7.61,https://www.lcsc.com/product-detail/C12074.html
11,C5184243,USB4105-GF-A-120,Global Connector Technology,SMD,,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,yes,5,1,1,0.9708,4.85,https://www.lcsc.com/product-detail/C5184243.html
12,C221841,PCM12SMTR,C&K,SMD,,Slide Switch SPDT @ 6V Surface Mount Rectangular Columnar,yes,5,1,1,1.1633,5.82,https://www.lcsc.com/product-detail/C221841.html
13,C2479687,RMCF0805FT330R,SEI(Stackpole Electronics Inc.),0805,,125mW 330Ω 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0040,0.40,https://www.lcsc.com/product-detail/C2479687.html
14,C49158168,Y201625MFBCX,JLYE,SMD2016-4P,,Crystal 25MHz ±10ppm 12pF SMD2016-4P,yes,20,10,10,0.0683,1.37,https://www.lcsc.com/product-detail/C49158168.html
15,C48587228,100UF25V6.3x7.7VT,Econd,"SMD,D6.3xL7.7mm",,100uF ±20% 25V Aluminum Electrolytic Capacitors 2000hrs@105℃,yes,20,20,20,0.0384,0.77,https://www.lcsc.com/product-detail/C48587228.html
16,C23931,FDS4435BZ,onsemi,SO-8,,P-Channel 30V 8.8A 2.5W Surface Mount SO-8,yes,10,5,5,0.3441,3.44,https://www.lcsc.com/product-detail/C23931.html
17,C2907285,FRC0805F7500TS,FOJAN,0805,,750Ω ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C2907285.html
