"Value","Footprint","IPN"
"CR2032","Battery:BatteryHolder_Keystone_103_1x20mm","BT-001"
"100n","Capacitor_SMD:C_0805_2012Metric","C-001"
"18p","Capacitor_SMD:C_0805_2012Metric","C-015"
"10u","Capacitor_SMD:C_0805_2012Metric","C-003"
"100uF/25V","Capacitor_SMD:CP_Elec_6.3x7.7","C-020"
"1.2n","Capacitor_SMD:C_0805_2012Metric","C-005"
"1n","Capacitor_SMD:C_0805_2012Metric","C-004"
"100u","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","C-006"
"CM4","granit:Raspberry-Pi-4-Compute-Module","J-002"
"WS2812B-5mm","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","D-007"
"LED R","LED_SMD:LED_0805_2012Metric","D-002"
"LED G","LED_SMD:LED_0805_2012Metric","D-001"
"3A","Fuse:Fuse_2512_6332Metric","F-002"
"USB_C_Receptacle_USB2.0_14P","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","J-004"
"PCM12SMTR","Button_Switch_SMD:SW_SPDT_PCM12","J-005"
"BM03B-SRSS-TB","Connector_JST:JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical","J-006"
"SATA_22pin","Connector_SATA_SAS:SATA_Amphenol_10029364-001LF_Horizontal","J-007"
"12V Barrel","granit:BarrelJack_Wuerth_6941xx301002","J-001"
"HR911130A","granit:HANRUN_HR911130A","J-008"
"SRN6045TA-3R3Y","Inductor_SMD:L_Bourns_SRN6045TA","L-001"
"2N7002","Package_TO_SOT_SMD:SOT-23","Q-003"
"FDS4435BZ","granit:SO08-E3","Q-001"
"5K1","Resistor_SMD:R_0805_2012Metric","R-019"
"330R","Resistor_SMD:R_0805_2012Metric","R-018"
"12K","Resistor_SMD:R_0805_2012Metric","R-007"
"750R","Resistor_SMD:R_0805_2012Metric","R-020"
"10K","Resistor_SMD:R_0805_2012Metric","R-002"
"10R","Resistor_SMD:R_0805_2012Metric","R-001"
"4K7","Resistor_SMD:R_0805_2012Metric","R-003"
"100K","Resistor_SMD:R_0805_2012Metric","R-004"
"2K2","Resistor_SMD:R_0805_2012Metric","R-005"
"20K","Resistor_SMD:R_0805_2012Metric","R-006"
"SW_Push","Button_Switch_SMD:SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010","SW-003"
"TestPoint","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","U-011"
"74AHCT1G125","Package_TO_SOT_SMD:SOT-23-5","U-008"
"ASM1061","granit:QFN50P700X700X90-49N-D","U-009"
"74AHCT1G32","Package_TO_SOT_SMD:SOT-23-5","U-003"
"DS3231MZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","U-010"
"NCP1117-3.3_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","U-002"
"AP64501SP-13","granit:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias","U-001"
"25MHz","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","Y-003"
