feeder,part
LV08-01,C_0805-1n
LV08-02,C_0805-1.2n
LV08-03,C_0805-18p
LV08-04,C_0805-100n
LV08-05,C_0805-10u
LV08-06,R_0805-10R
LV08-07,R_0805-330R
LV08-08,R_0805-750R
LV08-09,R_0805-2K2
LV08-10,R_0805-4K7
LV08-11,R_0805-5K1
LV08-12,R_0805-10K
LV08-13,R_0805-12K
LV08-14,R_0805-20K
LV08-15,R_0805-100K
RV08-01,LED_0805-LED R
RV08-02,LED_0805-LED G
RV08-03,SOT-23-2N7002
RV08-04,SOT-23-5-74AHCT1G125
RV08-05,SOT-23-5-74AHCT1G32
RV08-06,SOT-23-6-USBLC6-2SC6
RV08-07,XTAL-2016-25MHz
RH12-01,SOT-223-NCP1117-3.3_SOT223
RH12-02,SOIC-8-FDS4435BZ
RH12-03,SOIC-8-EP-AP64501SP-13
RH12-04,SOIC-8-DS3231MZ
RH12-05,FUSE-2512-3A
RH12-06,WS2812B-5050-WS2812B-5mm
RH12-07,SW-SKRTLAE010-SW_Push
RV16-01,QFN-48-7x7-ASM1061
RV16-02,TANT-D-100u
RV16-03,IND-6045-SRN6045TA-3R3Y
RV16-04,SW-PCM12-PCM12SMTR
RV16-05,ECAP-6.3x7.7-100uF/25V
